,Tau,Rho,Sigma,LogJitter
179437520,0.03732893107299872,0.5054694284064339,0.0006712672446470776,-7.995856293613301
404965649,0.04918878810940006,1.1116724500833421,0.0016794713094552896,-8.188039452165615
40185978,0.09094481115131607,1.110828528899901,0.0008472238245942212,-12.169822241452213
181445828,0.26825420002427197,0.5967411684544864,0.000527195479792143,-10.779791221355383
182735393,0.10479929039500314,0.6834432794473122,0.0005223204531946496,-10.206186566442778
181446521,0.020513357118937783,0.38505058954607624,0.0005346996127542392,-10.711164701534416
277173427,0.04915004832170577,0.29127618198310684,0.0016615425727162618,-11.245710203496525
181453967,0.06897325460628512,0.9044111420424356,0.0009264413420851732,-10.927411931123057
182300254,0.029432578101886424,0.613434252747227,0.001264535712021916,-7.65896670042927
425084797,0.03070203054807192,0.6351625817717615,0.0011784429265687061,-7.566785559654292
182293477,0.23170867040561144,0.7096831937329702,0.0016065868694065924,-10.527763171982427
231798010,0.03449500206376821,0.6704314606583351,0.0005779703272801285,-11.95287300150111
181453919,0.04019580410326223,0.7102144399611017,0.001961099135868265,-10.663486722230374
276860287,0.08669613852975953,1.364805728760135,0.0028686727311971355,-6.959098432205668
179576115,0.021521571246859866,0.5760740733930596,0.0008298269647753125,-8.720014392410574
276864159,0.052189493546295956,0.9955966543060981,0.0008114457149690529,-7.193017017374334
373606593,0.022704993605341763,0.47806344760901426,0.000434891494879702,-11.921558308412198
181660065,2.3036750872775142,1.187760600591131,0.00014897516122300836,-10.18379941813121
40716825,0.011875579027320072,0.399554951021627,0.0004937138804567079,-8.322581857888727
181051257,0.08414135615129659,0.8393044693835215,0.0002854708013804329,-10.601326712041192
287400445,0.012209522286352007,0.33079653616247434,0.0004031191848639759,-8.075273277485302
231743198,0.02483629097021668,0.6921028958960972,0.00036209842944372357,-11.811358610582076
30855727,0.04339849967463775,0.9884365183840348,0.01324419921635317,-4.855288206301966
30322273,0.019887599267292128,0.7798337609600594,0.0005273290792520216,-12.200090846080654
181878924,0.19737064285100717,1.6191118047480222,0.000739346695362563,-10.638226543250955
30189775,0.02634621278751474,0.558193217189707,0.0005892070986297168,-8.290685311726183
40603917,0.2444556494291366,1.5147135723692997,0.0018473992991985858,-12.54685228923002
276793048,0.014854493694140275,0.42405980629191825,0.0007243017160928822,-11.16744093720286
267547804,0.15853206891120414,0.6569646562599887,0.004399345806562298,-10.87759225577549
277101162,0.07594530801377729,1.1985302248770704,0.006425401423027761,-11.476075444625883
181446366,0.47535568603092604,0.5568883422062268,0.000558863610176822,-10.666633728967675
425058250,0.1370048360947679,3.6576123964429152,0.0873277647619695,-4.8918168371795465
179435530,0.09825107886035675,0.9339907635830791,0.006668549666135602,-6.011273351076497
30526897,0.26464974029342164,1.5264521802479822,0.022878235860816633,-11.445909725208729
279958567,0.07087669815615795,1.041537334424615,0.002297030286717697,-8.28563528479117
404850274,0.010508580121717008,0.40095439606216343,0.00036825128311233647,-8.443877897658464
277174595,0.018374845921147336,0.6208450657662901,0.0008381936238541309,-12.086421360165417
425083216,0.019507559773349198,0.4213213805465422,0.000210039643080578,-7.837243502330365
40716446,0.10420366958917839,10.353846361886033,0.16540143167604143,-4.749374192572899
404850155,0.07993264222106163,0.6353864724449981,0.0003092463762930066,-11.891815078894236
179437523,0.018916296041719675,0.5978568034510747,0.0014015813904236676,-7.479690724637542
404934011,0.09614199765549189,0.6930369331740898,0.0003617926260049671,-11.737392618670844
389564663,0.16117935087088966,1.4697135118820512,0.010453342415952794,-6.316875464955128
179583146,0.06615959836547868,0.7386655390241783,0.00020536964321993947,-11.960285534672154
277103906,0.02407531585360242,0.6436492098617494,0.0008404285605176294,-8.10536189414674
30267198,0.08286346730854016,0.4804018675573875,0.00027979302799838114,-12.138194404770609
31017334,0.06846122443511918,0.6151724723996077,0.0004202253158808687,-8.25783192979889
31183609,0.10812744876991275,1.187221277004368,0.0068616158662720425,-11.938525260243699
181042381,0.14558056005944955,0.9806177238002474,0.0004619144105078174,-11.002361404763867
30527145,0.020063577433623143,0.4563577479928232,0.0003294290769177256,-7.82797903515565
40404470,0.013300418058910218,0.44665511921933854,0.0005602300376654323,-12.612029397413554
30031510,0.04684070854611778,0.8385620166290302,0.0019250773159983953,-12.024208655147882
391745696,0.03545166167697187,0.49557508525783633,0.00044674344447592367,-10.85363681458297
180618091,0.6078932776622465,0.6170447049452238,0.022426177671995038,-10.905397433897585
183495106,0.15102917863540966,1.6587797496620778,0.00042445011143459364,-7.7280751830691745
404965397,0.015020312750306073,0.29879437104451423,0.0003099437952046307,-9.388604061224257
40345470,0.07854978389983602,0.9342006808121165,0.000430481488107034,-11.796690876153239
181446812,0.11830892981846974,0.6712706884444611,0.004470591950448311,-10.819657913788475
31181424,0.08667379171867404,1.0463079792193755,0.004708205788178154,-11.854050058824715
389365864,0.031975670097929024,0.7395745367910503,0.0007618263127687252,-6.967508247780816
179639601,0.11779825563552351,1.2431669507801808,0.00017412397900541259,-11.881173627500539
30266478,0.013946780378538965,0.37210842651296205,0.0002187679437079848,-8.77878818891
29984014,0.07450556029367501,1.2524058819483181,0.0022691660071149184,-7.34277932200831
277105522,0.024963065102151186,0.46212838294900394,0.00043632512526753386,-10.82227563704333
179309868,0.022732124084074885,0.4532484686993455,0.00026841560627792124,-12.095071247693824
277171889,0.021799357910877074,0.5606068383937619,0.0005493145321146298,-12.07213390074435
279957640,0.03688141970504948,0.7808514997724095,0.001725841811670236,-11.362543865334555
404769646,0.05590721071980094,1.2892205800338012,0.0025999066001588483,-11.60514749979771
277108449,0.01860062390322813,0.365333857072484,0.0004410450380147233,-7.969948820016548
181446808,1.059397212776913,1.564679529602144,0.0015093673006520358,-10.888865172911263
277300045,0.04171767737863072,0.9568525827938937,0.0016164503064991969,-11.51618260590894
425083794,0.016276997402988942,0.4328133765635448,0.0001576401755737459,-8.27917883096547
181880034,0.04144183087849175,0.5110332250479681,0.0005720402033045776,-6.242359461359623
391812839,0.09500874172730672,1.774365526374216,0.004283763626940997,-6.144003173980201
373846742,0.03300659563085648,1.0685246953600411,0.001417205235565575,-11.821056426847225
179206253,0.015673007290558302,0.6551657122566127,0.0008274044363930768,-8.013110754471832
404852217,0.034498178257586304,0.8216515279539222,0.0010483942662531287,-7.082101987397649
279957197,0.020005307415308586,0.4561830437315767,0.00038019836716681756,-11.937154785348136
277108350,0.03098737493295859,0.719276827865371,0.0006801499808548427,-7.304680995316058
30931197,0.05165340236513367,1.042409344750662,0.0034080685719326867,-7.260876775452365
389368279,0.02212483918527541,0.4482638309776839,0.0001885502599217186,-8.053868839807247
404934120,0.01663993385272826,0.6610744360318584,0.0006437527299943501,-8.666790943302646
391815407,0.042217281861506105,1.9235946373020023,0.00487345197849417,-5.903534479063359
404851968,0.04266888039667761,1.201392331052275,0.0032104272081229742,-11.321631721432915
182730122,0.10843430361967699,0.7028275183544537,0.00018686321411956418,-10.510744314233106
