,RA,Dec,dist,pmRA,pmDec,Tmag,ContRatio,SpT,CommonName,MKType,SimbadOType,SimbadSpT,teff,lum,SpecSource,Gal,w1mag,w2mag,w3mag,w4mag,RA_tic,Dec_tic,source_id,n_sectors,alpha,alpha_err_lo,alpha_err_hi,tau,tau_err_lo,tau_err_hi,gamma,gamma_err_lo,gamma_err_hi,alphaw,alphaw_err_lo,alphaw_err_hi,n_peaks,highest_amp,highest_amp_error,f0,f0_error,lc_length,n_peaks_prewhitening,initial_peaks_significant,pulse_GP,LikelyRR,LikelyCep,LikelyBCep
179437520,79.9719471545018,-68.0676922926452,0.0910190192975715,1.59304,0.20559,9.854,,RSG,SV* HV  2450,M1,V*,M1,3.5734518220354854,5.316,N,LMC,6.841,6.993,6.134,4.754,79.9719291666667,-68.0677166666667,4658722752228316160,12,0.0096145471639366,0.0007640454166705,0.000771158633227,0.1261360637559103,0.0132069889442277,0.0129280563477287,1.62597526520087,0.067406404861519,0.0689516676852164,0.0017874266495336,2.353869718971398e-06,2.4058516602187222e-06,1.0,0.0001123367631723,3.998647514567167e-06,0.8888356129409802,5.552491731962694e-05,353.4386586058081,1.0,True,True,False,False,False
181445828,13.7657197667409,-73.0102600633721,0.2365341080861289,0.7977989999999999,-1.26555,11.0965,,YSG,PMMR  74,G6Ia-Iab,YellowSG*,G6Ia-Iab,3.603,5.027,N,SMC,8.741,8.825,8.492,8.396,,,4685961808462981248,1,0.0241472171582033,0.0057612058660874,0.0061133306753552,0.1047662673768603,0.02558619908345,0.026245777431329,2.662709390799359,0.5813521328588998,0.6171868068165538,0.0060399310166159,2.829562968863653e-05,2.846640244447748e-05,4.0,0.0008601299699293,2.608965876921719e-05,0.7032265597382934,0.0007010576349852,23.854007414323405,4.0,True,True,False,False,False
181446521,13.2872572696366,-72.4940827630501,0.0982628284235809,0.64557,-1.28322,10.5294,,YSG,LIN 235,K3  Ia,RedSG*,M0Ia,3.604,5.219,N,SMC,8.157,8.136,7.689,6.962,,,4689004883041968384,2,0.0267672285066571,0.006153351540915,0.0065964097276905,0.235951166676587,0.0607930629936886,0.0653171291593121,1.8168081180771107,0.2312938609104899,0.2466718123245823,0.0042294334889148,1.3625710433656096e-05,1.350290290186816e-05,2.0,0.000562921141587,1.4786207054649885e-05,0.3973705370217419,0.0002929947295844,49.42653549380248,2.0,True,True,False,False,False
287400445,82.50946499305141,-67.0458544298004,0.141395161986728,1.59102,0.319944,9.8284,,YSG,[W60] D17,K5 I,Star,K5I,3.637,5.298,N,LMC,7.751,7.792,7.087,6.013,,,4660207333470081408,11,0.0100626557843717,0.0010755473489657,0.0011100616726774,0.2314181526667795,0.0336229805994796,0.03474795089672,1.5099896143568772,0.0806161236264848,0.0802239738832306,0.0018752133351321,2.5168245108423467e-06,2.6111714398918164e-06,1.0,0.0001616552260955,3.917007380375473e-06,0.3311137034479804,4.11970498025535e-05,324.2718719584436,1.0,True,True,False,False,False
30189775,73.6535170498711,-69.33949428585011,0.108955548875201,1.89072,-0.0410161999999999,9.4907,,YSG,SP77  31-16,,Star,,3.65,5.478,N,LMC,7.255,7.299,6.765,5.525,,,4655456756015488000,13,0.0131164775772797,0.0011573731142292,0.0012014908827966,0.1973941890362334,0.0214280611570377,0.0224593994990612,1.6098786508968268,0.066511011889472,0.0640702301326587,0.0017291123182591,2.239353731533448e-06,2.1687509152591017e-06,1.0,8.762873542526083e-05,3.239108697851358e-06,1.301502149507633,5.766014425565609e-05,353.4386241738521,1.0,True,True,False,False,False
279958567,82.11633413965791,-69.2159485799427,0.11489241094371,1.69843,0.5550430000000001,9.9157,,YSG,SK -69  148,G2Ia,YellowSG*,G2Ia,3.684,5.27,N,LMC,8.128,7.893,7.039,6.03,,,4658056168985153152,12,0.0382459377359082,0.0027898545032005,0.0027694334045781,0.1661692482519115,0.0133222878695919,0.0134923272459709,1.6281820568881191,0.0374668190137164,0.0364094160521883,0.0017849303943844,2.4123858291973978e-06,2.506491894794854e-06,4.0,0.0003242182872558,5.983774794503654e-06,1.6006050793248294,2.878951905932756e-05,353.4386808719264,4.0,True,True,False,False,False
404850274,85.0506962218809,-69.6680146949321,0.0494748046107853,1.71767,0.691703,9.2671,,YSG,HD 269953,G0,YellowSG*,G0_0,3.692,5.437,N,LMC,7.271,6.638,4.063,1.214,,,4657639114815408896,23,0.010343159265046,0.0005627483812415,0.0005757337116184,0.2273371287551531,0.014827691109597,0.0151299112191292,1.7287711258280445,0.0477465802987746,0.0476368543517775,0.0012892885728973,1.277150680469236e-06,1.2579592075471092e-06,10.0,0.0001895527664337,1.9360151478429763e-06,1.5934130435232357,5.290243329179064e-06,1064.421725798085,10.0,True,True,False,False,False
425083216,83.1040199638242,-67.69822537527929,0.0295413004329299,1.41845,0.339418,7.7019,,YSG,HD 269723,K5,YellowSG*,G4_0,3.702,5.6,N,LMC,7.343,7.275,6.212,1.578,,,4658617199111762560,11,0.0088279642880796,0.000889521041251,0.0009137245274016,0.2004036020673982,0.0249133797209554,0.0258811353481693,1.808927634251667,0.1123449824160749,0.1212471343896324,0.002116938442301,2.700287643139787e-06,2.803341377940246e-06,4.0,3.148584736747899e-05,2.515668438813471e-06,2.3735969346193366,0.0001246334721038,353.4386796078161,4.0,True,True,False,False,False
31017334,76.4921891850801,-70.5348947657862,0.0312294243119077,1.96147,-0.0115807,10.2617,,YSG,HD 269070,K5,Star,K5,3.742,5.137,N,LMC,9.003,8.978,8.872,9.05,,,4652065896529482112,12,0.0070019925336168,0.0012120501972229,0.0014449574442793,0.1438421627294328,0.0245981711565671,0.0284999286236699,2.07082043374435,0.1781637784939029,0.1923378270511806,0.0017154221720902,1.3230036033865054e-05,1.318784624783462e-05,8.0,0.000291998567455,4.651628938326221e-06,0.9123752028342796,2.4849694577546343e-05,353.4386520687676,8.0,True,True,False,False,False
40404470,77.29420213149241,-69.6033901712571,0.1821014202051739,2.0805700000000003,0.252252,10.038,,YSG,HD 269110,K0,Star,G0I:,3.75,5.251,N,LMC,8.786,8.681,8.569,8.241,,,4652214880388720000,24,0.0101052251572288,0.0006399085953201,0.0006501432783422,0.3107610186969293,0.0249642030231874,0.0261827992359288,1.4856424262627796,0.0369681536811743,0.038031113006679,0.0012000327232546,1.2254648718902118e-06,1.155828183264018e-06,5.0,0.0001936194733078,2.8716650557793893e-06,0.5529451169089454,7.682133095537994e-06,1064.421593953182,5.0,True,True,False,False,False
29984014,72.73273606034921,-69.4312513304874,0.0353944851400487,1.83265,-0.114001,10.4649,,YSG,HD 268687,F2,YellowSG*,F6Ia,3.784,5.169,N,LMC,9.225,9.15,8.963,9.049,,,4655369585360613120,25,0.0354914793914476,0.0018231390514952,0.0018529999990837,0.2841770192175203,0.0143966684413721,0.0145900425808053,1.843417101348422,0.0305290551289649,0.0322409451975473,0.0012874322508404,1.269083818805335e-06,1.1793156826618923e-06,9.0,0.0002166532700141,6.04534981739398e-06,2.765244281769283,1.445284343703354e-05,1064.421516174243,9.0,True,True,False,False,False
277108449,84.0420066193105,-68.9281290230183,0.1759564632464769,1.48695,0.6823170000000001,10.132,,YSG,HD 269840,G0,YellowSG*,F3Ia,3.791,5.335,N,LMC,8.839,8.786,8.577,8.336,,,4657702886498144256,19,0.0064320745875521,0.0003074526454161,0.0003084991465961,0.127789243299595,0.0072545315150314,0.0076024765156745,2.03920377655082,0.0730460324169386,0.0715151272966716,0.0014103444575202,1.465976390396025e-06,1.4604744043701743e-06,13.0,0.0002183438275776,3.491067390057527e-06,2.2696135363578933,9.264118465901985e-06,951.5332479110212,13.0,True,True,False,False,False
277300045,84.53992899164001,-69.1059214609078,0.0714366590649896,1.7065400000000002,0.627754,9.7899,,YSG,HD 269902,A1Ia+,SG*,A1Ia+,3.793,5.352,N,LMC,8.687,8.609,9.188,4.947,,,4657680513972093952,22,0.0261326726267433,0.0011916599237079,0.0011920530692016,0.191770671008279,0.0097071178110324,0.0096571621051682,1.6553488853185905,0.0245403008526596,0.0256130760209085,0.0012954940531583,1.3215499874721058e-06,1.3081824267338702e-06,2.0,0.0001027144275614,3.701100062906569e-06,2.903418923023217,1.918292349723065e-05,1035.6078566950564,2.0,True,True,False,False,False
404934120,85.2408770700883,-69.2586504176052,0.0695118760697376,1.64553,0.3326639999999999,9.1333,,YSG,HD 269982,B,SG*,A3Ia,3.83,5.145,N,LMC,9.582,9.54,9.425,9.091,,,4657627947893085184,10,0.0177330552606282,0.0023467087392081,0.0024629694813953,0.4426679700558963,0.0717978003349856,0.0739798222914805,1.573587051967112,0.0823643635280659,0.0847717337729467,0.0018600528124488,2.530462523967413e-06,2.663970928871778e-06,1.0,4.967828938155736e-05,5.556846434956188e-06,1.704170647041792,0.0001880942405606,327.86648078763983,1.0,True,True,False,False,False
279957325,81.96335132091691,-69.0153788128196,0.0678144428708261,1.60225,0.500658,10.5398,,YSG,CD-69   310,F2I,Star,F2I,3.846,5.178,N,LMC,9.665,9.628,9.449,7.782,,,4658106269873047296,12,0.0079815269020256,0.0005011475821651,0.0004970331664047,0.0760351617266181,0.0053862237366532,0.005167427877812,2.393537152061918,0.136884283993778,0.144842849098735,0.0021497419701013,2.750426698606284e-06,2.635397232712399e-06,20.0,0.0002676708786629,7.484689984030214e-06,2.6890598571950197,4.361836393835021e-05,353.4386786441155,20.0,True,True,False,False,False
391813303,82.635141082248,-69.1533031052453,0.0866076010163571,1.58544,0.496004,10.6765,,YSG,HD 269651,B,Star,F0I,3.847,5.066,N,LMC,9.892,9.832,9.64,9.806,,,4658429698027802624,12,0.0167294382211634,0.0016027747252615,0.0016409993432691,0.2435989930098002,0.0304280885796224,0.0298942031777014,1.4475627792062569,0.0504268343987976,0.0503611650016713,0.0017118440866541,2.3123996758347195e-06,2.279231654204929e-06,3.0,0.0003235687318261,5.899483642953446e-06,0.0983474049188602,2.8440951880830985e-05,353.4386841578653,3.0,True,True,False,False,False
31106686,76.4812996782763,-67.8863697066475,0.131393284143352,1.62485,0.00777875,8.9469,,YSG,HD  33579,B,SG*,A2Ia+,3.854,5.716,N,LMC,8.349,8.29,8.087,7.947,,,4661472149794844288,12,0.0216428690970848,0.0015034698792371,0.0015123064250037,0.1214964662118264,0.0097712764252606,0.0101238115674159,1.623358890020993,0.0444212015207194,0.0438016807425898,0.0018841169880682,2.6417040893647777e-06,2.607859858549987e-06,18.0,0.0001545446626867,2.749297977291823e-06,0.1772293667175681,2.775009910848364e-05,353.4386321109032,18.0,True,True,False,False,False
279957416,81.97337364627509,-69.0329090495226,0.0725992284662509,1.6901099999999998,0.766548,10.8295,,YSG,CD-69   312,A4Ia,Star,B5:I,3.861,5.045,N,LMC,10.055,10.015,9.831,9.311,,,4658106166793166464,12,0.0749374950696394,0.0069258092399084,0.0069071437959965,0.2982210256306562,0.0285056364449089,0.0272986881151461,1.5918436153943976,0.032931302003883,0.0355444527011497,0.0017967938607782,2.3895764407174183e-06,2.368258387156711e-06,15.0,0.0004145745958063,1.551263091419616e-05,2.689031501041049,5.83690824676629e-05,353.43590102311305,15.0,True,True,False,False,False
40518041,77.5949562251389,-68.77328288319589,0.0599439616907116,1.86184,0.284369,9.1888,,YSG,HD 269128,B,BlueSG*,B2.5Ieq,3.872,5.134,N,LMC,9.692,9.474,8.551,5.563,,,4658269336800428672,25,0.9535010451815202,0.0639571961656855,0.0611499064040375,0.8998257820366169,0.054635648445793,0.0518658856821203,1.251152380380327,0.0075275146238455,0.007555922728847,0.0035705617310044,4.546939823618038e-06,4.509636743065589e-06,30.0,0.0243599201091844,0.0001277774453514,0.053639981996414,2.7169110895506714e-06,1064.4215770819535,30.0,True,True,False,False,False
277024372,84.0187920882484,-69.4023110977935,0.056916223899392,1.69084,0.599997,10.3586,,YSG,HD 269832,B,BlueSG*,B9Ia,3.884,5.259,N,LMC,9.815,9.768,9.678,9.502,,,4657658184472593152,12,0.0534526707376372,0.0036415088170692,0.0036887524184041,0.1549094198402092,0.0106089600064053,0.010935466576716,1.79328771160948,0.0371194696128438,0.0374034684642512,0.0018038374946695,2.5018930649694376e-06,2.5363395063980696e-06,2.0,0.0004904370178271,9.795600218082335e-06,2.7040561721786327,3.115619897045911e-05,353.4386951948818,2.0,True,True,False,False,False
276864037,83.5936155654464,-67.0232139793976,0.0836504721955186,1.54041,0.462425,9.7693,,YSG,HD 269781,A0Ia(e),SG*,A0Iae,3.891,5.433,N,LMC,9.359,9.31,9.097,9.194,,,4660246228686276096,10,0.0508359359793262,0.0032606175008597,0.0034134324420173,0.1199624381202514,0.0083481414631472,0.0082857462595995,1.678261315398932,0.0330096361883907,0.0349514630743892,0.0021030515056341,3.2345627734545364e-06,3.20230872702474e-06,21.0,0.0006994310260759,7.571365827790938e-06,0.1018150818217934,1.840478609601386e-05,324.2719010643659,21.0,True,True,False,False,False
391814255,82.5939879187955,-69.32748336278479,0.0429445752433718,1.84803,0.806624,10.6226,,YSG,HD 269649,B,Em*,OB,3.897,5.192,N,LMC,9.982,9.915,9.505,8.75,,,4658051874017859584,11,0.0491253260637956,0.0034474811356625,0.0036179667701591,0.1686255782293967,0.0124320538681295,0.0126316724102139,1.763083862187667,0.0393915957841786,0.0416831399183277,0.0019843884214315,2.870372518297328e-06,2.800262527368619e-06,3.0,0.0008782503956203,1.0331184908923102e-05,0.0744736964183347,1.83496782147287e-05,353.43868483904043,3.0,True,True,False,False,False
181050536,12.5253313607607,-73.129251549703,0.1055990430399209,0.724133,-1.21316,10.9775,,YSG,HD   4976,B5I,BlueSG*,B8Ia+,3.901,5.195,N,SMC,10.35,10.297,10.125,9.256,,,4685945663744993920,2,0.207283135851828,0.0528650693105225,0.05693634283855,0.4076802553226952,0.1069467889092223,0.1127389234768626,1.8022483906432083,0.1589432463408326,0.1623584174687438,0.0091189461038415,2.919983821644996e-05,2.9903057805933175e-05,13.0,0.0032702315656216,4.885935278374495e-05,0.1767666672081823,0.0001666557382968,49.42648044169528,13.0,True,True,False,False,False
183117215,17.2368610375199,-73.0428819742245,0.0288888981521721,0.8805620000000001,-1.21381,11.1958,,YSG,RMC  43,A2I,SG*,A3Ia,3.901,5.063,N,SMC,10.679,10.678,10.476,8.764,,,4687207593802365568,1,0.0376974117852747,0.0117835617304591,0.013483249961325,0.2721417030745858,0.0904307415230532,0.1034212490109492,2.1293808741321056,0.4706349543604637,0.5026847218689521,0.0055448384053377,2.3077057799439533e-05,2.4640956553023677e-05,1.0,0.0006914732279489,2.2069256819188893e-05,0.3602958097492212,0.0007222647720328,24.36276972199289,1.0,True,True,False,False,False
279956577,82.1306978069882,-68.89881909948879,0.0506308491929594,1.59634,0.4887729999999999,10.6587,,YSG,HD 269604,B,SG*,A1Ia0,3.91,5.166,N,LMC,10.165,10.147,9.999,8.979,,,4658483986422695936,11,0.0311310829865818,0.0033803343953905,0.0035607651429885,0.429219465113073,0.0528175644906004,0.0542897345401323,1.6136869257526736,0.0589055053093119,0.0584032252652186,0.0017775455373647,2.4166643191026425e-06,2.391282333890016e-06,1.0,0.0005509681620139,6.374319845754974e-06,0.105337868615921,1.8046958800598327e-05,353.43867915881674,1.0,True,True,False,False,False
181042827,12.4636404343103,-72.9292372324884,0.117534984977905,0.724308,-1.2784,11.2711,,YSG,SK   31,B2.5Ia,BlueSG*,B2Ia,3.916,5.152,N,SMC,10.98,10.973,10.811,7.315,,,4688954064955069056,2,0.3213961977632963,0.0733280752153301,0.0757772055116327,0.2791864681730023,0.0614776631072377,0.0589517178278105,1.7063585296667458,0.088962327031338,0.0956269864796073,0.0064840718306534,2.2270720416443963e-05,2.181892103920481e-05,1.0,0.0004352649423583,7.617570520979011e-05,3.4754123496001195,0.0019521524710222,49.4264949966373,1.0,True,True,False,False,False
182730111,15.706708381956698,-72.1706890221054,0.0499529153909195,1.04256,-1.17631,10.8227,,YSG,CPD-72    77,A0Ia,BlueSG*,B9Ia,3.937,5.279,N,SMC,10.486,10.473,10.397,8.891,,,4690502280398446720,1,0.1438207040465413,0.048411353886002,0.0546229489749135,0.4361125474195481,0.1544761072719511,0.1687832405876605,1.3696318224928798,0.1127324218681389,0.1182804198921625,0.0063834762766103,2.9389995027977005e-05,3.0639507670201724e-05,1.0,0.0001916142805656,2.473346737217317e-05,3.160460263719114,0.0029833608501499,23.85404859275104,1.0,True,True,False,False,False
31109182,76.30091922077,-66.7368252914217,0.0291777569974404,1.57119,-0.00031937,10.2425,,YSG,HD 268946,Oe,SG*,A0Ia,3.946,5.398,N,LMC,9.767,9.737,9.522,8.807,,,4661920991030456576,12,0.0312565270120679,0.0024001577851375,0.0024725535194015,0.15912413821161,0.0129507160048975,0.0137678240893923,1.7242805853513248,0.048216360792527,0.0502218660288034,0.0018230975020109,2.5440890478228752e-06,2.512004682534829e-06,8.0,0.0004508961294068,5.9051479136049984e-06,0.1684584754078401,2.2266705996246148e-05,324.2717034437874,8.0,True,True,False,False,False
276863889,83.64317381614471,-66.9731733144206,0.0727888216878428,1.50499,0.505239,10.7046,,YSG,HD 269787,B5:,SG*,A0Ia0,3.955,5.241,N,LMC,10.316,10.306,10.145,9.077,,,4660246606598419968,10,0.0478132833684839,0.005079444406483,0.0047520170595501,0.3396391864020848,0.0374522923880661,0.0367293182130325,1.6208628452071348,0.0460194606440422,0.0482919688279261,0.0019492732655931,2.873463565106465e-06,2.9715802459787024e-06,4.0,0.0003368138123363,8.481864273650176e-06,1.1478458841937806,4.281568146667402e-05,324.2719023894306,4.0,True,True,False,False,False
181446250,13.2703677202242,-72.6333727846161,0.142239878497209,0.681701,-1.03491,10.8459,,YSG,HD   5291,OB,BlueSG*,B6Ia,3.973,5.353,N,SMC,10.469,10.451,10.231,8.652,,,4688967362197739392,2,0.2560318414764121,0.0702828476626283,0.0789248053015751,0.5899468798362372,0.1637147133431425,0.1818633791216297,1.6418207089943708,0.1335980817659874,0.1439549167068692,0.0095548099637762,2.9976398148700772e-05,3.149479270266736e-05,16.0,0.00028757756226,4.2852064830091113e-05,3.4422115398227757,0.001662139361446,49.42652475984414,16.0,True,True,False,False,False
276864600,83.5769240904612,-67.3038084618584,0.0146902794508379,1.37301,0.794582,11.1527,,YSG,HD 269777,B,BlueSG*,B3Ia,3.976,5.067,N,LMC,11.015,11.004,10.978,9.981,,,4660142634076536320,20,0.105312125701323,0.0057588285875568,0.0056676092765292,0.3150756868324752,0.0159584024688729,0.0149244594663883,1.7814717061227645,0.0205419944601237,0.0225583735666818,0.001680943904833,1.8159335985583336e-06,1.943644805995617e-06,4.0,0.0032083047060114,1.9799416445574475e-05,0.1738208458701674,3.196493586626023e-06,1064.4216497655614,4.0,True,True,False,False,False
