CommonName,ContRatio,Dec,Dec_y,MKType,MatchID,RA,RA_y,SimbadOType,SimbadSpT,SpT,SpecSource,TIC ID,Tmag,dist,lum,pmDec,pmRA,teff,w1mag,w2mag,w3mag,w4mag,alpha,e_alpha,tau,e_tau,gamma,e_gamma,alpha_w,e_alpha_w
V* V1092 Cen,,-61.3194461120708,-61.31944444444451,Ma,290678703,174.109242433808,174.10925,RedSG*,M2.5Iab-Ib,RSG,T,290678703,5.2902,0.0143849927268335,4.4483837997590525,0.7437600000000001,-6.708710000000001,3.5338991007965945,-0.064,0.535,1.391,0.593,0.19495813502262554,0.017357471080299378,0.346361460652468,0.03176561566016304,1.7546752627788798,0.049073926213973655,0.00735829012920962,7.667754489330487e-06
V* HS Cas,,63.586529088412284,63.586444444444396,M4Ia,52782147,17.0830008031574,17.0830416666667,RedSG*,M4Ia,RSG,T,52782147,5.8870000000000005,0.31166604645025103,4.559673219179753,-0.356649,-2.45031,3.5347873586294916,-0.005,0.456,0.484,-0.555,0.41430341114369595,0.033904890417125064,0.1180557098782236,0.009540584278722345,1.7844344264830843,0.042201447374700905,0.01161047934667743,1.9643047244742018e-05
HD 143183,,-54.143224049791,-54.1431944444444,M2II,423407817,240.400927299788,240.40095833333302,Star,M1/2+B/F,RSG,T,423407817,4.2452,0.12506699014002198,5.2219112332833895,-3.61955,-2.3013,3.5369370227046737,-1.944,-2.109,-1.939,-3.4619999999999997,0.1148980168233871,0.012258155682131176,0.21389117555843434,0.02670085891889548,1.6010832512090483,0.0610037173823532,0.007900319990088979,1.1108553137575248e-05
BD+35  4077,,35.6212659265505,35.6212777777778,M2,136034302,305.308620341679,305.308625,Candidate_RSG*,M3Iab:,RSG,L,136034302,5.6839,0.0447893409341567,4.768,-4.498819999999999,-2.84552,3.5563025007672873,-1.054,-0.27899999999999997,-0.006999999999999999,-1.092,0.1989679206538225,0.02590463425111772,0.6764091992864899,0.09849376682698793,1.5443497977987053,0.05568649105582255,0.008569944235466979,1.0741785038452182e-05
V* AD Per,,56.993123167701995,56.9931388888889,K5,348314378,35.1208446815309,35.120875,RedSG*,M3Iab,RSG,T,348314378,5.3572,0.0820865581407627,4.586749289756069,-1.42326,-0.06577619999999999,3.543322900646912,-0.133,0.429,0.609,-0.308,0.17355789962585627,0.010931528614997889,0.059660236982854206,0.003864364880564262,2.2676565163165945,0.09235557668578401,0.01808017918963626,2.908139080246943e-05
V* KY Cyg,,38.3521320105775,38.3519444444444,N,15065085,306.491848255443,306.492,RedSG*,M3Ia,RSG,L,15065085,4.8981,0.799670717529197,5.432,-6.27885,-3.57367,3.5440680443502797,-1.6540000000000001,0.698,-2.0340000000000003,-3.214,0.28621910974865206,0.03704616818853644,0.638697996772823,0.09982498431439253,1.3592684454990462,0.041752656899249965,0.013154888056918947,1.7193795294790984e-05
TYC 8626-2180-1,,-59.4887017981869,-59.48875,,459005094,161.461071522401,161.460958333333,Star,,RSG,L,459005094,4.5713,0.270020854893225,4.936,1.7496099999999999,-7.0805,3.54715912132742,-0.922,0.07400000000000001,1.0490000000000002,0.569,0.546220051886233,0.06990132722561665,0.36357729978911607,0.04793596577199711,1.4557882414938004,0.0319451536406459,0.009022905557786032,1.4134943763772246e-05
V* V589 Cas,,60.9935214945449,60.99352777777779,M3Iab-b,399355842,26.5228383670653,26.522833333333303,RedSG*,M3Iab-Ib,RSG,L,399355842,5.8435,0.024266511527863,4.716,-0.488446,-0.9517629999999999,3.54715912132742,0.485,0.899,1.237,0.215,0.09244732341366849,0.007377511789937636,0.0915455006170873,0.00798650299039341,2.142003090571486,0.11341969147556402,0.0121909834319565,1.8807350485298893e-05
V* RS Per,,57.1094722551826,57.10952777777779,Ma,348607532,35.601229729271296,35.60125,RedSG*,M3.5IabFe-1,RSG,L,348607532,5.0841,0.20377171786812198,5.156000000000001,-0.9308069999999999,-0.37109699999999995,3.5502283530550898,-1.22,-0.667,-0.531,-1.795,0.3830987267605744,0.028731332688373,0.08592918354682719,0.006904721968464472,1.6543756394812663,0.037107002041984985,0.014460824044122652,2.6446503982858773e-05
V* V602 Car,,-60.0913476941856,-60.0913333333333,Ma,467450857,168.374886678521,168.374875,RedSG*,M3Ia-Iab,RSG,L,467450857,4.945,0.0557875631366733,5.02,2.1825799999999997,-5.4246,3.5502283530550898,-1.555,2.126,-1.237,-2.269,0.16393963133685532,0.010538435853802236,0.14081612859723455,0.009823332654327357,2.1654894939845586,0.09302313856302785,0.021453331728828372,2.197742666663522e-05
V* W Per,,56.983415940453604,56.9834166666667,M3Iab,251118305,42.657885935281,42.657875,RedSG*,M3Iab-M5I,RSG,L,251118305,5.6252,0.0216090984744702,4.732,-1.99148,0.243191,3.5502283530550898,-0.639,-0.584,-0.7340000000000001,-2.241,0.14698739766336363,0.006720960164231377,0.031140406954594278,0.0013717331858266691,2.4495458475888925,0.07353707930832112,0.012705386730601367,2.1636752554749204e-05
