logt1 P1 M1 logTeff1 logL1 Yc1 Ve1 N/C2 N/O2 log∆t2 P2 logTeff2 logL2 Yc2 Ve2
9.125 0.121 1.70 3.875 1.370 0.994 0.0 0.247 0.132 7.135 0.162 3.833 1.362 0.994 0.0 
8.922 0.192 2.00 3.864 1.634 0.994 0.0 0.247 0.132 6.385 0.244 3.825 1.609 0.994 0.0 
8.658 0.332 2.50 3.856 1.974 0.994 0.0 0.247 0.132 5.774 0.438 3.808 1.929 0.994 0.0 
8.454 0.565 3.00 3.833 2.230 0.994 0.0 0.247 0.132 5.172 0.694 3.797 2.192 0.994 0.0 
8.150 1.156 4.00 3.819 2.650 0.994 0.0 0.247 0.132 4.616 1.488 3.777 2.605 0.994 0.0 
7.929 2.109 5.00 3.803 2.973 0.994 0.0 0.247 0.132 4.242 2.889 3.753 2.928 0.994 0.0 
7.624 5.282 7.00 3.784 3.483 0.994 0.0 0.247 0.132 3.699 7.860 3.725 3.436 0.994 0.0 
7.421 10.17 8.99 3.772 3.855 0.994 0.0 0.247 0.132 3.374 17.11 3.697 3.790 0.993 0.0 
7.191 26.33 11.95 3.755 4.353 0.987 0.0 0.247 0.132 3.444 57.30 3.659 4.305 0.985 0.0 
7.088 74.50 14.64 3.732 4.812 0.222 0.0 0.247 0.132 4.243 202.2 3.608 4.752 0.206 0.0

