,RA,Dec,dist,pmRA,pmDec,Tmag,ContRatio,SpT,CommonName,MKType,SimbadOType,SimbadSpT,teff,lum,SpecSource,Gal,w1mag,w2mag,w3mag,w4mag,RA_tic,Dec_tic,source_id,n_sectors,alpha,alpha_err_lo,alpha_err_hi,tau,tau_err_lo,tau_err_hi,gamma,gamma_err_lo,gamma_err_hi,alphaw,alphaw_err_lo,alphaw_err_hi,n_peaks,highest_amp,highest_amp_error,f0,f0_error,lc_length
179437520,79.9719471545018,-68.0676922926452,0.0910190192975715,1.59304,0.20559,9.854,,RSG,SV* HV  2450,M1,V*,M1,3.5734518220354854,5.316,N,LMC,6.841,6.993,6.134,4.754,79.9719291666667,-68.0677166666667,4658722752228316160,12,0.0096145471639366,0.0007640454166705,0.000771158633227,0.1261360637559103,0.0132069889442277,0.0129280563477287,1.62597526520087,0.067406404861519,0.0689516676852164,0.0017874266495336,2.353869718971398e-06,2.4058516602187222e-06,1.0,0.0001123367631723,3.998647514567167e-06,0.8888356129409802,5.552491731962694e-05,353.4386586058081
404965649,85.3739607280804,-69.4158716709785,0.0607846121390063,1.78826,0.708052,11.0373,,RSG,CPD-69   502,,Em*,B6I,3.578295305120826,4.93,N,LMC,8.013,8.161,7.247,5.391,85.3740083333333,-69.4158694444445,4657625263503324544,11,0.0457105864580229,0.0048220130801303,0.0049979142969412,0.3856584945104383,0.042574331087346,0.0444048009258669,1.7133327792033586,0.057776444771008,0.0545466415642641,0.0017920625082335,2.445330005965488e-06,2.4159254493724865e-06,2.0,0.0006322604395958,8.13557827247701e-06,0.1858274963638295,2.1637453384672185e-05,327.86648767605084
40185978,76.9685374986588,-70.4346413210691,0.160504337909509,2.1404,0.2160679999999999,11.107,,RSG,SK -70   80,M0,multiple_object,B8Iab+M0,3.587149498254344,4.887,N,LMC,8.254,8.398,8.099,7.782,76.9684875,-70.4346,4652070290243179776,12,0.0142799450633166,0.001383574550205,0.0014376308384755,0.2709743578977922,0.0293211596491402,0.0297863620289233,1.9386997415213736,0.099979272859922,0.1061327058550527,0.0016605019093546,2.1344671702026863e-06,2.1681363061422463e-06,2.0,0.0006817339974139,6.961964066063743e-06,0.1890584774099857,1.5929917792247688e-05,353.4386543590353
181445828,13.7657197667409,-73.0102600633721,0.2365341080861289,0.7977989999999999,-1.26555,11.0965,,YSG,PMMR  74,G6Ia-Iab,YellowSG*,G6Ia-Iab,3.603,5.027,N,SMC,8.741,8.825,8.492,8.396,,,4685961808462981248,1,0.0241472171582033,0.0057612058660874,0.0061133306753552,0.1047662673768603,0.02558619908345,0.026245777431329,2.662709390799359,0.5813521328588998,0.6171868068165538,0.0060399310166159,2.829562968863653e-05,2.846640244447748e-05,4.0,0.0008601299699293,2.608965876921719e-05,0.7032265597382934,0.0007010576349852,23.854007414323405
182735393,15.655493915862902,-72.2736146370511,0.0856188716343298,0.942084,-1.16347,11.1242,,YSG,PMMR 135,G6.5Ia-Iab,YellowSG*,G6.5Ia-Iab,3.603,4.967,N,SMC,8.807,8.863,8.588,8.536,,,4687498998758427520,1,0.0206082509692447,0.0052925463327357,0.0055273760996006,0.129571608943596,0.0314090434798278,0.0318441683616173,3.070554560631959,0.8687007084276592,1.022825168549721,0.0061289265876403,2.752727365139696e-05,2.7574044212609963e-05,0.0,,,,,23.854044697494373
181446521,13.2872572696366,-72.4940827630501,0.0982628284235809,0.64557,-1.28322,10.5294,,YSG,LIN 235,K3  Ia,RedSG*,M0Ia,3.604,5.219,N,SMC,8.157,8.136,7.689,6.962,,,4689004883041968384,2,0.0267672285066571,0.006153351540915,0.0065964097276905,0.235951166676587,0.0607930629936886,0.0653171291593121,1.8168081180771107,0.2312938609104899,0.2466718123245823,0.0042294334889148,1.3625710433656096e-05,1.350290290186816e-05,2.0,0.000562921141587,1.4786207054649885e-05,0.3973705370217419,0.0002929947295844,49.42653549380248
277173427,84.20622963249549,-69.4603692590114,0.1438749644714129,1.70508,0.631595,11.9196,,RSG,OGLE BRIGHT-LMC-MISC-498,,Star,,3.604009932412231,4.485,N,LMC,9.398,9.58,9.209,8.199,84.2062916666667,-69.4604027777778,4657656977543417344,12,0.004024579325619,0.0006638665800439,0.0008629221013624,0.0934156422326618,0.016174494396124,0.0213458695344346,2.212249337856022,0.2319135830286265,0.2292077857588816,0.001620748185456,1.2049215278981144e-05,1.195008817152449e-05,3.0,0.0019421164820316,2.1502837084627443e-05,1.705744581537766,1.727098663157287e-05,353.4386968004819
181453967,13.6119890003896,-72.88329048091941,0.2478703112206139,0.693505,-1.22539,11.6794,,YSG,PMMR  67,G7.5Iab,YellowSG*,G7.5Iab,3.605,4.844,N,SMC,9.239,9.357,8.603,8.223,,,4685978198050211584,2,0.0185300970528345,0.0044732689683385,0.0046890633103609,0.2282859698209664,0.064559641792915,0.0656788396804171,1.9390857206746956,0.316622319998961,0.3377892522150416,0.0040938200846656,1.34862020578011e-05,1.28797558009942e-05,0.0,,,,,49.42650879348275
182300254,15.2255792058644,-72.86019235652459,0.0491626231371312,0.840859,-1.19681,10.7268,,YSG,PMMR 116,G4  Ia,RedSG*,G4-K1Ia-Iab,3.607,5.094,N,SMC,8.367,8.304,7.885,7.441,,,4685923669156145536,1,0.0322687868546552,0.0079695396345421,0.008575630861115,0.1183750633485144,0.0333825182396024,0.0359832567039923,1.7201214569615044,0.2356199229022542,0.2442639885366893,0.0064559206510227,2.958483045696885e-05,3.044790152360172e-05,0.0,,,,,23.854021714083046
425084797,82.8674483231918,-67.056357787794,0.0986103846831908,1.42234,0.611541,11.0698,,YSG,SP77  45-54,,Star,M,3.612,4.89,N,LMC,8.764,8.927,8.016,7.032,,,4660161050897498496,10,0.015436776254469,0.0014293496046705,0.0014898669823327,0.2080674672609795,0.022954834519085,0.0231124610397189,1.7519921539602703,0.0809776758730547,0.0828726922263725,0.0019611823340918,2.733524341756201e-06,2.882503540381325e-06,1.0,0.0002767700480742,8.390881525975052e-06,1.4835924689836302,5.154540580811586e-05,324.27188157923865
