,(BP_RP)_0,BR_hi,DEICRS,E(BP-RP),M_G,M_G_low,Name,RAICRS,Source,Unnamed: 0,_DE_icrs,_RA_icrs,a_g_percentile_lower,a_g_percentile_upper,a_g_val,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_gof_al,astrometric_matched_observations,astrometric_n_bad_obs_al,astrometric_n_good_obs_al,astrometric_n_obs_ac,astrometric_n_obs_al,astrometric_params_solved,astrometric_primary_flag,astrometric_pseudo_colour,astrometric_pseudo_colour_error,astrometric_sigma5d_max,astrometric_weight_al,b,bp_g,bp_rp,camera,ccd,datalink_url,dec,dec.1,dec_error,dec_parallax_corr,dec_pmdec_corr,dec_pmra_corr,designation,dist,duplicated_source,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,e_bp_min_rp_val,ecl_lat,ecl_lon,epoch_photometry_url,flame_flags,frame_rotator_object_type,g_rp,l,lum_percentile_lower,lum_percentile_upper,lum_val,matched_observations,mean_varpi_factor_al,modality_flag,parallax,parallax_error,parallax_over_error,parallax_pmdec_corr,parallax_pmra_corr,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_bp_n_obs,phot_bp_rp_excess_factor,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_g_n_obs,phot_proc_mode,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_rp_n_obs,phot_variable_flag,pmdec,pmdec_error,pmra,pmra_error,pmra_pmdec_corr,priam_flags,r_est,r_hi,r_len,r_lo,ra,ra.1,ra_dec_corr,ra_error,ra_parallax_corr,ra_pmdec_corr,ra_pmra_corr,radial_velocity,radial_velocity_error,radius_percentile_lower,radius_percentile_upper,radius_val,random_index,ref_epoch,result_flag,rv_nb_transits,rv_template_fe_h,rv_template_logg,rv_template_teff,solution_id,source_id,source_id.1,teff_percentile_lower,teff_percentile_upper,teff_val,tess_sector1_oid,tess_sector2_oid,tess_sector3_oid,tess_sector4_oid,tess_sector5_oid,tess_sector6_oid,tess_sector7_oid,ticid,tmag,visibility_periods_used,CommonName,MKType,SimbadOType,SpT
110,0.20767536499999983,,-69.250317722051,0.08021194399832413,-9.487238957999999,,b'LMC',79.5598429532526,4.658193814095916e+18,1896,-69.250317722051,79.5598429532526,0.0509,0.2627,0.1657,506.33722,0.0,2.1096571430951074e-15,11.876558,21,4,182,186,186,31,False,1.6642131436170176,0.00907279258283437,0.0522372,229.83273,-33.44423191577213,0.14211369,0.392066,4,1,http://geadata.esac.esa.int/data-server/datalink/links?ID=4658193814095915776,-69.25031772205104,-69.2503,0.03929883332280448,0.42666528,-0.43293995,0.08686744,Gaia DR2 4658193814095915776,2.5271267143078603e-05,False,0.025,0.1173,0.0813,-85.24988301262276,320.82864537908324,,,0,0.24995232,279.9797610116141,,,,22,-0.02455069,1,0.007286416077318761,0.03714393435705187,0.19616705,-0.32983658,0.30976459999999995,2080854.0014622728,44302.86830701611,46.968834,9.555784,22,1.1795195,3235028.1020186143,24500.367744025996,132.03998,9.413671,195,0,1734924.9990068087,41373.72897934201,41.93301,9.163718,22,NOT_AVAILABLE,0.27951210716221864,0.07541595574615832,1.7347593594879842,0.05536724345933164,0.03182329,100001.0,6927.5861539884,8184.776274651891,520.62165027192,5915.92350948561,79.55984295325257,79.5598,0.1454532,0.029734054066172563,0.19817612,-0.09459059,-0.028460836,,,,,,1001627418,2015.5,1,0,,,,1635721458409799680,4658193814095915776,4658193814095915776,7534.5,7954.5,7699.5,5690.0,,,,,,,179305185,9.16,17,V* S Dor,A5Iaeq,SG*,A5Iaeq
111,0.20767536499999983,,-69.250317722051,0.08021194399832413,-9.487238957999999,,b'LMC',79.5598429532526,4.658193814095916e+18,4300,-69.250317722051,79.5598429532526,0.0509,0.2627,0.1657,506.33722,0.0,2.1096571430951074e-15,11.876558,21,4,182,186,186,31,False,1.6642131436170176,0.00907279258283437,0.0522372,229.83273,-33.44423191577213,0.14211369,0.392066,4,2,http://geadata.esac.esa.int/data-server/datalink/links?ID=4658193814095915776,-69.25031772205104,-69.2503,0.03929883332280448,0.42666528,-0.43293995,0.08686744,Gaia DR2 4658193814095915776,2.5271267143078603e-05,False,0.025,0.1173,0.0813,-85.24988301262276,320.82864537908324,,,0,0.24995232,279.9797610116141,,,,22,-0.02455069,1,0.007286416077318761,0.03714393435705187,0.19616705,-0.32983658,0.30976459999999995,2080854.0014622728,44302.86830701611,46.968834,9.555784,22,1.1795195,3235028.1020186143,24500.367744025996,132.03998,9.413671,195,0,1734924.9990068087,41373.72897934201,41.93301,9.163718,22,NOT_AVAILABLE,0.27951210716221864,0.07541595574615832,1.7347593594879842,0.05536724345933164,0.03182329,100001.0,6927.5861539884,8184.776274651891,520.62165027192,5915.92350948561,79.55984295325257,79.5598,0.1454532,0.029734054066172563,0.19817612,-0.09459059,-0.028460836,,,,,,1001627418,2015.5,1,0,,,,1635721458409799680,4658193814095915776,4658193814095915776,7534.5,7954.5,7699.5,,6615.0,,,,,,179305185,9.16,17,V* S Dor,A5Iaeq,SG*,A5Iaeq
66,0.7484983650000012,,-69.6680117167678,,-9.148163958,,b'LMC',85.0507175064633,4.657639114815409e+18,1860,-69.6680117167678,85.0507175064633,,,,426.10895,0.0,1.927172387527237e-15,7.99834,25,0,220,220,220,31,True,1.5569228438109888,0.00715136323546392,0.03632954,233.26872000000003,-31.476602427850214,0.40235233,0.932889,4,2,http://geadata.esac.esa.int/data-server/datalink/links?ID=4657639114815408896,-69.66801171676777,-69.668,0.024201245451842008,0.17375320000000002,-0.2998808,0.040897455,Gaia DR2 4657639114815408896,3.1249934434782825e-05,False,,,,-86.38881851971749,298.4198967136793,,,0,0.53053665,280.10889814977185,,,,29,-0.084184274,1,-0.014957633018161325,0.02538672791154525,-0.5891911,-0.19794722,0.22741485,1198163.717019332,4614.18799662822,259.66946,10.155098,29,1.2005796,2367270.8637496177,2734.6600503371797,865.65454,9.752746,254,0,1643933.471737079,6362.49777421222,258.37863,9.222209,29,NOT_AVAILABLE,0.6917030353748235,0.045965794036733405,1.7176698598086249,0.04826481806688801,0.019948132,110001.0,9426.01251644744,10939.4952486072,549.559468639108,8175.54770982955,85.0507175064633,85.0508,0.07641568,0.025675620816697817,0.14444643,-0.021461165,0.12574333,251.80613785324212,1.843851044582767,,,,1414057971,2015.5,1,4,-0.5,1.0,6000.0,1635721458409799680,4657639114815408896,4657639114815408896,5332.25,6228.1,5437.0,14971.0,,,,,,,404850274,9.22,17,HD 269953,G0,YellowSG*,G0_0
67,0.7484983650000012,,-69.6680117167678,,-9.148163958,,b'LMC',85.0507175064633,4.657639114815409e+18,4238,-69.6680117167678,85.0507175064633,,,,426.10895,0.0,1.927172387527237e-15,7.99834,25,0,220,220,220,31,True,1.5569228438109888,0.00715136323546392,0.03632954,233.26872000000003,-31.476602427850214,0.40235233,0.932889,4,2,http://geadata.esac.esa.int/data-server/datalink/links?ID=4657639114815408896,-69.66801171676777,-69.668,0.024201245451842008,0.17375320000000002,-0.2998808,0.040897455,Gaia DR2 4657639114815408896,3.1249934434782825e-05,False,,,,-86.38881851971749,298.4198967136793,,,0,0.53053665,280.10889814977185,,,,29,-0.084184274,1,-0.014957633018161325,0.02538672791154525,-0.5891911,-0.19794722,0.22741485,1198163.717019332,4614.18799662822,259.66946,10.155098,29,1.2005796,2367270.8637496177,2734.6600503371797,865.65454,9.752746,254,0,1643933.471737079,6362.49777421222,258.37863,9.222209,29,NOT_AVAILABLE,0.6917030353748235,0.045965794036733405,1.7176698598086249,0.04826481806688801,0.019948132,110001.0,9426.01251644744,10939.4952486072,549.559468639108,8175.54770982955,85.0507175064633,85.0508,0.07641568,0.025675620816697817,0.14444643,-0.021461165,0.12574333,251.80613785324212,1.843851044582767,,,,1414057971,2015.5,1,4,-0.5,1.0,6000.0,1635721458409799680,4657639114815408896,4657639114815408896,5332.25,6228.1,5437.0,,15441.0,,,,,,404850274,9.22,17,HD 269953,G0,YellowSG*,G0_0
215,0.14919236500000088,,-68.9856885418566,0.3681423259548913,-8.318572957999999,,b'LMC',81.9694459484428,4.658481718680658e+18,4332,-68.9856885418566,81.9694459484428,0.3959,1.0541,0.7605,599.8591,0.06305859110643541,1.324590734837109,13.532295,24,11,199,210,210,31,True,1.6996631224029963,0.009048035321195969,0.06416347,119.62715,-32.646752251663344,0.094670296,0.33358288,4,2,http://geadata.esac.esa.int/data-server/datalink/links?ID=4658481718680657792,-68.9856885418566,-68.9858,0.04202781393678471,0.37896383,-0.720278,0.44124195,Gaia DR2 4658481718680657792,0.00012467242083448183,False,0.2153,0.5513,0.3963,-86.11807857778238,317.729575952177,,,0,0.23891258,279.4855315093041,,,,29,-0.019895056,1,0.04432879590455603,0.03375339417041958,1.3133137,-0.46082783,0.37199378,740887.1868837413,14502.932237672889,51.08534,10.677008,22,1.2028244,1102582.7119981851,5793.880960133675,190.30124,10.582337,230,0,585326.1988153093,10507.574689392444,55.70516600000001,10.343425,23,NOT_AVAILABLE,0.4852627969431871,0.07209326882450327,1.7394042820153062,0.0709301339593429,-0.37596887,100001.0,6598.348938619821,7772.23087072021,531.880392589874,5662.10823426287,81.96944594844277,81.9693,-0.37268183,0.03512043769394145,-0.095891654,0.35990906,-0.49742293,,,,,,26438147,2015.5,1,0,,,,1635721458409799680,4658481718680657792,4658481718680657792,8071.0,8961.667,8521.5,,11857.0,,,,,,279957111,9.33,15,HD 269582,,WR*,WN10h
56,0.8958333649999994,,-69.2485047933515,0.08021194399832413,-8.831669957999999,,b'LMC',85.8549631756482,4.657630731032546e+18,1855,-69.2485047933515,85.8549631756482,0.0509,0.2627,0.1657,360.9096,0.0,1.8990053399109602e-15,5.6762543,27,3,225,228,228,31,True,1.5669274907302868,0.006659066211355021,0.041581567,275.13156000000004,-31.239830942097026,0.47857666,1.080224,4,2,http://geadata.esac.esa.int/data-server/datalink/links?ID=4657630731032546176,-69.24850479335153,-69.2485,0.024949428736951284,0.3632345,-0.16610812,0.042994674,Gaia DR2 4657630731032546176,2.3698950744787595e-05,False,0.025,0.1173,0.0813,-86.8942527582889,298.2096285411952,,,0,0.6016474,279.5857693298287,,,,33,-0.042360473,1,0.006913965856229545,0.02438086798275152,0.2835816,-0.022995146,0.24892631,834504.7992436289,5544.248453657137,150.51721,10.547816,30,1.2132703,1768684.495741123,2990.4511281715118,591.44403,10.06924,269,0,1311387.4979174023,7291.288011474167,179.85676999999995,9.467592,31,NOT_AVAILABLE,0.8812266902643371,0.053970463263485285,1.7263904837805804,0.04466499251619375,0.11590398,100001.0,8949.10069977353,10362.375677485401,550.554505406947,7786.77619154573,85.85496317564815,85.8549,0.16038388,0.02293041241084693,0.08338069,-0.047649357,-0.32322690000000004,245.91595137264926,1.8304045769412567,,,,1007936495,2015.5,1,4,0.0,1.0,6250.0,1635721458409799680,4657630731032546176,4657630731032546176,4970.71,5092.35,5066.0,14321.0,,,,,,,389437365,9.45,18,HD 270046,,Star,G5I
57,0.8958333649999994,,-69.2485047933515,0.08021194399832413,-8.831669957999999,,b'LMC',85.8549631756482,4.657630731032546e+18,4233,-69.2485047933515,85.8549631756482,0.0509,0.2627,0.1657,360.9096,0.0,1.8990053399109602e-15,5.6762543,27,3,225,228,228,31,True,1.5669274907302868,0.006659066211355021,0.041581567,275.13156000000004,-31.239830942097026,0.47857666,1.080224,4,2,http://geadata.esac.esa.int/data-server/datalink/links?ID=4657630731032546176,-69.24850479335153,-69.2485,0.024949428736951284,0.3632345,-0.16610812,0.042994674,Gaia DR2 4657630731032546176,2.3698950744787595e-05,False,0.025,0.1173,0.0813,-86.8942527582889,298.2096285411952,,,0,0.6016474,279.5857693298287,,,,33,-0.042360473,1,0.006913965856229545,0.02438086798275152,0.2835816,-0.022995146,0.24892631,834504.7992436289,5544.248453657137,150.51721,10.547816,30,1.2132703,1768684.495741123,2990.4511281715118,591.44403,10.06924,269,0,1311387.4979174023,7291.288011474167,179.85676999999995,9.467592,31,NOT_AVAILABLE,0.8812266902643371,0.053970463263485285,1.7263904837805804,0.04466499251619375,0.11590398,100001.0,8949.10069977353,10362.375677485401,550.554505406947,7786.77619154573,85.85496317564815,85.8549,0.16038388,0.02293041241084693,0.08338069,-0.047649357,-0.32322690000000004,245.91595137264926,1.8304045769412567,,,,1007936495,2015.5,1,4,0.0,1.0,6250.0,1635721458409799680,4657630731032546176,4657630731032546176,4970.71,5092.35,5066.0,,15047.0,,,,,,389437365,9.45,18,HD 270046,,Star,G5I
140,0.6488423649999999,,-67.1761881716418,,-8.812415957999999,,b'LMC',86.2526093961533,4.659451968942873e+18,1968,-67.1761881716418,86.2526093961533,,,,295.20798,0.0,0.0,5.7692760000000005,21,5,172,177,177,31,True,1.6238059131756597,0.008296303424819856,0.03982058,250.94281,-31.261689309647426,0.35638428,0.8332328999999999,4,1,http://geadata.esac.esa.int/data-server/datalink/links?ID=4659451968942872192,-67.17618817164175,-67.1762,0.02775456313617557,0.28759650000000003,-0.4516464,0.03778596,Gaia DR2 4659451968942872192,1.3207903657610745e-05,True,,,,-88.40470752640167,335.5953633198447,,,0,0.4768486,277.15569635059137,,,,31,0.0643794,1,-0.012906375718106051,0.028961073886837874,-0.44564563,-0.24577922,0.28412659999999995,917495.4218583113,4127.636568636451,222.28105,10.444879,23,1.1889646,1737595.3568750569,1962.2297528535416,885.5209,10.088494,235,0,1148444.050323174,2585.9921106599663,444.10193,9.611646,26,NOT_AVAILABLE,0.6779604210834782,0.05283908676360585,1.3987119537343338,0.05378314712986456,0.013827943999999998,110001.0,8635.98021024218,10090.1892047213,547.81399443873,7444.548292032458,86.2526093961533,86.2526,0.11920374,0.02832770235359592,0.23036854,-0.09490077,-0.12949355,,,,,,339731629,2015.5,1,0,,,,1635721458409799680,4659451968942872192,4659451968942872192,5698.6665,5860.6665,5776.6665,14359.0,,,,,,,389565293,9.63,17,HD 270111,,Star,G5I
208,0.3446993650000001,,-69.5604890652522,,-8.771664958,,b'LMC',79.5076594165815,4.658170969235233e+18,4296,-69.5604890652522,79.5076594165815,,,,424.11423,0.0,0.0,10.521415,19,5,161,166,166,31,True,1.6822159584949985,0.009522201014025093,0.060512044,289.95816,-33.39922129814631,0.21094608,0.5290899,4,2,http://geadata.esac.esa.int/data-server/datalink/links?ID=4658170969235232640,-69.56048906525221,-69.5605,0.0363216987196791,0.4015457000000001,-0.44921193,-0.04501248,Gaia DR2 4658170969235232640,2.3986201688124688e-05,False,,,,-85.07441656752124,317.7872583965585,,,0,0.31814384,280.3481079118058,,,,19,-0.104068466,1,-0.0492498061330218,0.033780767506013096,-1.4579245,-0.2833205,0.119160704,1010366.2130859824,4656.154806934984,216.99583,10.340191,18,1.1747694,1673587.2149696618,2990.5631699532482,559.62274,10.129245,166,0,955712.9307908412,7014.844660053672,136.2415,9.811101,19,NOT_AVAILABLE,0.2907535086427782,0.07299165210717784,1.7721838929445648,0.07423698586786273,0.33635345,110001.0,8490.699481478221,9967.15102554952,522.649454665673,7276.698182482321,79.5076594165815,79.5076,0.23411205,0.03783173051646555,0.18428381,-0.21360117,-0.6067121999999999,,,,,,1430435252,2015.5,1,0,,,,1635721458409799680,4658170969235232640,4658170969235232640,6755.5,7170.0,6896.715,,6595.0,,,,,,179206253,9.82,14,HD 269331,A5Ia0,Candidate_YSG*,A5Ia0
14,0.8430423650000003,,-69.603389085174,,-8.328448958,,b'LMC',77.2942278347447,4.65221488038872e+18,1540,-69.603389085174,77.2942278347447,,,,272.41583,0.0,0.0,2.9583752,25,2,212,214,214,31,True,1.5779408759521971,0.0073940371298249685,0.040601283,307.2117,-34.14212028283798,0.4637375,1.0274324,4,1,http://geadata.esac.esa.int/data-server/datalink/links?ID=4652214880388720000,-69.60338908517397,-69.6034,0.02821518392726465,0.43590033,-0.3424733,0.18927385,Gaia DR2 4652214880388720000,4.61661185003972e-05,True,,,,-84.38131649255527,321.5292095700143,,,0,0.56369495,280.6065703904674,,,,29,-0.11542583,1,-0.1319424202345709,0.026295377473127483,-5.017704,-0.18211368,0.25270328,532201.1212964322,8170.533576645684,65.13664,11.036199,24,1.1942928,1112658.5898679472,4369.737320846311,254.62825,10.572461,243,0,796638.9664276001,8729.600386452921,91.25721,10.008766,25,NOT_AVAILABLE,0.25225152639981835,0.0532821857297139,2.080572956523605,0.043864593434758535,0.046808116,110001.0,12217.436638372801,14036.765326953,511.727558339455,10660.3358689608,77.29422783474472,77.2941,-0.010196659,0.02307396018947813,0.074881345,0.09438974,-0.2378902,,,,,,943266985,2015.5,1,0,,,,1635721458409799680,4652214880388720000,4652214880388720000,5147.6665,5520.6665,5226.0,1310.0,,,,,,,40404470,10.01,17,HD 269110,G0:Ia,Star,G0I:
